timestamp_ms,timestamp_str,lon_bd09,lat_bd09,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,speed,direction,mileage,driving_mode,driving_model,device_id,attributes,calc_speed,vehicle_id,headway_distance,headway_time,acceleration
1753858980000,2025-07-30 15:03:00.000,104.197727,35.959421,104.19123259076186,35.95344534143771,104.188543,35.953621,48.0,168.0,10811.8,2.0,2,612042023200066,"{""1"":108118,""3"":558,""37"":0,""48"":80,""49"":19,""224"":""AC8="",""225"":108118,""226"":558,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",15.347,1879347316192227300,70.44983018633444,5.283737263975083,0.0
1753858980000,2025-07-30 15:03:00.000,104.197945,35.958698,104.19144815001276,35.95272578846357,104.188759,35.952902,33.0,168.0,12931.6,2.0,2,612042023200098,"{""1"":129316,""3"":343,""37"":0,""48"":80,""49"":22,""224"":""AC8="",""225"":129316,""226"":343,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",9.662,1879353494011949000,6.886772847850141,0.7512843106745609,-1.9444444444444444
1753858980000,2025-07-30 15:03:00.000,104.197586,35.960046,104.19109288551492,35.95406873717933,104.188403,35.954244,68.0,167.0,7689.3,2.0,2,612042023200085,"{""1"":76893,""3"":699,""37"":0,""48"":80,""49"":33,""224"":""AC8="",""225"":76893,""226"":699,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",18.8,1879358279721201700,0.0,0.0,-1.1111111111111112
1753858980000,2025-07-30 15:03:00.000,104.197932,35.958759,104.1914351774947,35.952786825934936,104.188746,35.952963,33.0,169.0,10499.1,2.0,2,612042023200080,"{""1"":104991,""3"":327,""37"":0,""48"":80,""49"":33,""224"":""AC8="",""225"":104991,""226"":327,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",9.156,1879364340897329200,75.4600374491323,8.232004085359888,-0.5555555555555556
1753858981000,2025-07-30 15:03:01.000,104.197761,35.959285,104.1912655219864,35.95331025097488,104.188576,35.953486,41.0,168.0,10811.8,2.0,2,612042023200066,"{""1"":108118,""3"":486,""37"":0,""48"":80,""49"":19,""224"":""AC8="",""225"":108118,""226"":486,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",15.311,1879347316192227300,66.31633071886993,5.822897331412969,-0.2777777777777778
1753858981000,2025-07-30 15:03:01.000,104.197965,35.958613,104.19146810822646,35.9526407329137,104.188779,35.952817,35.0,171.0,12931.6,2.0,2,612042023200098,"{""1"":129316,""3"":343,""37"":0,""48"":80,""49"":24,""224"":""AC8="",""225"":129316,""226"":343,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",9.627,1879353494011949000,7.701483562861411,0.7921525950371738,-0.8333333333333333
1753858981000,2025-07-30 15:03:01.000,104.197632,35.959875,104.19113779235047,35.95389761688617,104.188448,35.954073,71.0,168.0,7689.3,2.0,2,612042023200085,"{""1"":76893,""3"":726,""37"":0,""48"":80,""49"":33,""224"":""AC8="",""225"":76893,""226"":726,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",19.452,1879358279721201700,0.0,0.0,-0.2777777777777778
1753858981000,2025-07-30 15:03:01.000,104.197949,35.958681,104.19145214165496,35.95270877735342,104.188763,35.952885,31.0,170.0,10499.1,2.0,2,612042023200080,"{""1"":104991,""3"":317,""37"":0,""48"":80,""49"":33,""224"":""AC8="",""225"":104991,""226"":317,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",8.812,1879364340897329200,68.95808555476323,8.008035741843472,-1.1111111111111112
1753858982000,2025-07-30 15:03:02.000,104.197788,35.959163,104.1912924650924,35.9531881742302,104.188603,35.953364,37.0,168.0,10811.8,2.0,2,612042023200066,"{""1"":108118,""3"":452,""37"":0,""48"":80,""49"":19,""224"":""AC8="",""225"":108118,""226"":452,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",13.789,1879347316192227300,60.02538205557878,5.8403074432455035,-0.8333333333333333
1753858982000,2025-07-30 15:03:02.000,104.197983,35.958523,104.19148606993517,35.952551679956926,104.188797,35.952728,33.0,168.0,12931.6,2.0,2,612042023200098,"{""1"":129316,""3"":344,""37"":0,""48"":80,""49"":23,""224"":""AC8="",""225"":129316,""226"":344,""227"":562949953421312,""228"":0,""229"":0,""230"":0,""231"":0}",10.033,1879353494011949000,9.04689417524673,0.986933910026916,0.2777777777777778
